year,day,avg
2020,01,0.293
2020,02,0.034
2020,03,0.025
2020,04,0.039
2020,05,0.041
2020,06,0.043
2020,07,0.056
2020,08,0.035
2020,09,0.034
2020,10,0.027
2020,11,1.470
2020,12,0.026
2020,15,10.488
2020,16,0.150
2020,17,0.232
2020,18,0.047
2021,01,0.036
2021,02,0.038
2021,03,0.033
2021,04,0.083
2021,05,0.117
2021,06,0.033
2021,07,0.036
2021,08,0.057
2021,09,0.053
2021,10,0.038
2021,11,0.044
2021,12,0.893
2021,13,0.038
2021,14,0.041
2021,15,9.093
2021,16,0.037
2021,17,0.207
2022,01,0.027
2022,02,0.036
2022,03,0.029
2022,04,0.031
2022,05,0.035
2022,06,0.029
